#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-13T01:03:35 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-13T01:03:35	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=9999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/145/101&tab:{J/AJ/145/101/catalog}&key:source=J/AJ/145/101/catalog&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/145/101/catalog
#-order=I
#-out=Name
#-out=Nd
#-out=RAJ2000
#-out=DEJ2000
#-out=a26
#-out=l_FUV
#-out=FUV
#-out=Bmag
#-out=l_Hamag
#-out=Hamag
#-out=Kmag
#-out=l_HImag
#-out=HImag
#-out=W50
#-out=TT
#-out=Mcl
#-out=Tdw
#-out=HRV
#-out=Dist
#-out=A26
#-out=i
#-out=vAmp
#-out=<Bmu>
#-out=M26
#-out=l_MHI
#-out=MHI
#-out=Vlg
#-out=Ti5
#-out=K+04
#-out=SimbadName
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=9999	

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	
#INFO	publisher=CDS	
#INFO	creator=Karachentsev I.D.	
#INFO	related_resource=bibcode:2013AJ....145..101K	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	
#INFO	publication_id=doi:10.26093/cds/vizier.51450101	
#INFO	publication_date=2017-06-12	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of data available for this galaxy (apparent magnitudes + velocities + kinematics + distances, in tables 3--6)	[ucd=meta.number]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	a26	(F6.2)	[0.1/645.65]? Major angular diameter (1)	[ucd=phys.angSize]
#Column	l_FUV	(A1)	[>] Lower limit flag on FUV	[ucd=meta.code.error]
#Column	FUV	(F5.2)	[8.21/24.56]? GALEX/FUV band magnitude (3)	[ucd=phot.mag;em.UV]
#Column	Bmag	(F5.2)	[-4.6/21.4]? Apparent integral B band magnitude (4)	[ucd=phot.mag;em.opt.B]
#Column	l_Hamag	(A1)	[>] Lower limit flag on Hamag	[ucd=meta.code.error]
#Column	Hamag	(F5.2)	[3.79/27.87]? Integral H{alpha} line emission magnitude (5)	[ucd=phot.flux;em.line.Halpha]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	l_HImag	(A1)	[>] Lower limit flag on HImag	[ucd=meta.code.error]
#Column	HImag	(F6.2)	[-3.35/21.5]? HI 21cm line magnitude (8)	[ucd=phot.mag;em.radio.750-1500MHz]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	Mcl	(a5)	Dwarf galaxy morphology (BCD, HIcld, Im, Ir, S0em, Sm, Sph, Tr, dE, dEem, or dS0em) (11)	[ucd=src.morph.type]
#Column	Tdw	(A1)	Dwarf galaxy surface brightness morphology (H=high, N=normal, L=low, X=extremely low) (11)	[ucd=meta.code;src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	A26	(F5.2)	? Major linear diameter (13)	[ucd=phys.size.diameter]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	<Bmu>	(F4.1)	? Average B band surface brightness (17)	[ucd=phot.mag.sb;em.opt.B]
#Column	M26	(F5.2)	? log(mass) within Holmberg radius (19)	[ucd=phys.mass]
#Column	l_MHI	(A1)	[<] Upper limit flag on MHI	[ucd=meta.code.error]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
#Column	K+04	(I3)	Cross-match with the Catalog of neighboring galaxies of Karachentsev et al. (2004, cat. J/AJ/127/2031) within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000;_DEJ2000;Name;Nd;RAJ2000;DEJ2000;a26;l_FUV;FUV;Bmag;l_Hamag;Hamag;Kmag;l_HImag;HImag;W50;TT;Mcl;Tdw;HRV;Dist;A26;i;vAmp;<Bmu>;M26;l_MHI;MHI;Vlg;Ti5;K+04;SimbadName
009.279167;+44.322222;And XVII          ;  5;00 37 07.0;+44 19 20;  1.90; ;21.19;17.70; ;     ;13.31;>; 16.34;   ;-2;Sph  ;X;-251; 0.74; 0.44;43;   ;27.6;     ;<; 5.54;  22; 3.6;  0;And XVII
009.362917;+45.386944;And XXVII         ;  4;00 37 27.1;+45 23 13;  2.80;>;23.00;17.60; ;     ;13.19; ;      ;   ;-3;Sph  ;X;-535; 0.83; 0.73;71;   ;28.3;     ; ;     ;-261; 3.1;  0;And XXVII
009.741667;+48.336111;NGC0185           ;  7;00 38 58.0;+48 20 10; 12.30; ;     ; 9.99; ;20.17; 6.56; ; 17.23; 36;-3;dE   ;N;-203; 0.61; 2.76;39; 21;23.8; 8.14; ; 5.02;  73; 2.0;  1;NGC0185
010.093750;+41.686389;NGC0205           ;  8;00 40 22.5;+41 41 11; 19.50; ;14.99; 8.72;>;27.87; 5.59; ; 16.41; 42;-2;dE   ;N;-221; 0.82; 4.92;64; 18;23.6; 8.28; ; 5.60;  47; 3.6;  1;NGC0205
010.625417;+40.575833;And IV            ;  7;00 42 30.1;+40 34 33;  1.00; ;17.89;17.18; ;21.06;14.54; ; 14.02; 90;10;Ir   ;L; 237; 6.31; 1.93;45; 56;25.6; 8.84; ; 8.32; 503;-1.4;  1;And IV
010.675417;+40.866389;MESSIER032        ;  7;00 42 42.1;+40 51 59;  8.91; ;16.27; 8.89; ;23.24; 5.10;>; 14.27;   ;-2;dEem ;H;-202; 0.49; 1.33;53;   ;22.1;     ;<; 6.00;  64; 1.5;  1;MESSIER032
010.685417;+41.269167;MESSIER031        ;  8;00 42 44.5;+41 16 09;190.55; ;     ; 4.29; ;13.81; 0.99; ;  5.95;510; 3;     ; ;-296; 0.77;43.45;78;249;23.1;11.50; ; 9.73; -29; 1.8;  1;MESSIER031
010.765833;-22.250278;DDO226            ;  8;00 43 03.8;-22 15 01;  2.24; ;16.69;14.90; ;19.26;12.48; ; 15.47; 37;10;Ir   ;N; 359; 4.92; 3.12;90; 14;25.2; 7.82; ; 7.53; 409; 0.1;  1;DDO226
011.416667;+38.037222;And I             ;  6;00 45 40.0;+38 02 14;  2.88; ;22.11;13.90; ;24.61; 9.59;>; 16.32;   ;-3;Sph  ;L;-376; 0.73; 0.65;48;   ;24.7;     ;<; 5.53;-116; 3.4;  1;And I
011.583333;+33.801389;And XI            ;  5;00 46 20.0;+33 48 05;  1.10; ;21.23;18.50; ;     ;14.08;>; 16.33;   ;-3;Sph  ;X;-419; 0.73; 0.26;39;   ;27.2;     ;<; 5.53;-167; 2.7;  0;And XI
011.784583;-20.760000;NGC0247           ;  8;00 47 08.3;-20 45 36; 25.12; ;11.53; 9.86; ;13.16; 7.43; ; 10.74;207; 7;     ; ; 161; 3.65;25.91;74; 96;24.9;10.44; ; 9.16; 216; 1.2;  1;NGC0247
011.862500;+34.374722;And XII           ;  5;00 47 27.0;+34 22 29;  1.90;>;23.00;18.70; ;     ;14.15;>; 16.33;   ;-3;Sph  ;X;-556; 0.83; 0.53;31;   ;28.5;     ;<; 5.64;-303; 2.6;  0;And XII
011.892917;-25.292222;NGC0253           ;  8;00 47 34.3;-25 17 32; 37.15; ;11.31; 7.92; ;11.84; 3.77; ; 10.94;407; 5;     ; ; 243; 3.94;40.83;85;192;23.1;11.24; ; 9.15; 276;-0.3;  1;NGC0253
012.337917;-18.074444;KDG002            ;  7;00 49 21.1;-18 04 28;  1.23; ;19.47;16.37;>;25.92;13.93; ; 18.61; 26;10;Tr   ;L; 224; 3.40; 1.24;26; 11;25.4; 7.24; ; 5.95; 290; 0.7;  1;KDG002
012.455417;-21.016111;DDO006            ;  8;00 49 49.3;-21 00 58;  2.29; ;16.91;15.30; ;20.55;13.26; ; 15.86; 19;10;Ir   ;N; 292; 3.34; 2.18;90;  3;25.6; 6.20; ; 7.04; 344; 0.7;  1;DDO006
012.602500;-19.906944;ESO540-032        ;  7;00 50 24.6;-19 54 25;  1.51; ;19.70;16.44; ;24.10;14.01; ; 18.55; 17;10;Ir   ;L; 228; 3.42; 1.53;26;  6;25.9; 6.78; ; 5.98; 285; 0.9;  1;ESO540-032
012.676667;+32.916389;Bol520            ;  5;00 50 42.4;+32 54 59;  0.20; ;21.90;16.28; ;     ;13.31; ;      ;   ;-3;dE   ;H;-312; 0.63; 0.04;33;   ;21.3;     ; ;     ; -64; 2.1;  0;Bol520
012.895833;+29.696944;And XIV           ;  5;00 51 35.0;+29 41 49;  2.70;>;23.00;16.90; ;     ;12.56;>; 16.34;   ;-3;Sph  ;X;-481; 0.73; 0.61;60;   ;27.6;     ;<; 5.53;-240; 2.2;  0;And XIV
012.962500;+33.004444;And XIII          ;  5;00 51 51.0;+33 00 16;  1.30;>;23.00;18.20; ;     ;13.78;>; 16.33;   ;-3;Sph  ;X;-195; 0.84; 0.35;52;   ;27.3;     ;<; 5.65;  53; 2.4;  0;And XIII
013.158333;-72.800278;SMC               ;  6;00 52 38.0;-72 48 01;380.19; ;     ; 2.70; ; 7.97; 0.16; ;  3.20; 90; 9;Im   ;N; 158; 0.06; 7.09;58; 46;24.1; 9.25; ; 8.65; -22; 3.6;  1;SMC
013.220000;+43.200000;And IX            ;  6;00 52 52.8;+43 12 00;  4.00; ;22.62;16.70; ;25.63;12.30;>; 16.32;   ;-3;Sph  ;X;-216; 0.79; 1.00;52;   ;28.2;     ;<; 5.60;  48; 4.0;  0;And IX
013.722917;-37.682500;NGC0300           ;  8;00 54 53.5;-37 40 57; 25.70; ;10.34; 8.95; ;13.66; 6.38; ;  9.12;147; 7;     ; ; 146; 2.15;16.05;45; 90;24.4;10.18; ; 9.35; 116; 0.2;  1;NGC0300
014.874167;+32.376667;And XVI           ;  5;00 59 29.8;+32 22 36;  1.78; ;20.63;15.70; ;     ;11.33;>; 16.34;   ;-3;Sph  ;L;-385; 0.52; 0.29;31;   ;25.5;     ;<; 5.24;-143; 1.6;  0;And XVI
015.039167;-33.709167;Sculptor          ;  5;01 00 09.4;-33 42 33; 39.81; ;22.09;10.05; ;     ; 5.90;>; 12.12;   ;-3;Sph  ;X; 105; 0.09; 1.04;60;   ;26.6;     ;<; 5.39;  91; 2.8;  1;SCULPTOR DWARF GALAXY
015.979167;+21.885000;LGS 3             ;  7;01 03 55.0;+21 53 06;  2.40; ;19.46;15.00;>;26.11;12.49; ; 17.35; 18;10;Tr   ;L;-286; 0.65; 0.46;64;  3;25.4; 5.62; ; 5.02; -74; 1.5;  0;LGS 3
016.199167; +2.133333;IC1613            ;  7;01 04 47.8;+02 08 00; 19.05; ;11.64; 9.88; ;14.86; 7.43; ; 10.71; 27;10;Ir   ;N;-232; 0.73; 4.11;29; 13;24.8; 7.88; ; 7.77; -89; 0.8;  0;IC1613
016.640417;+44.804444;And X             ;  6;01 06 33.7;+44 48 16;  2.10;>;23.00;16.70; ;21.90;12.10;>; 16.34;   ;-3;Sph  ;X;-164; 0.63; 0.45;79;   ;26.7;     ;<; 5.40;  95; 2.2;  0;And X
016.842917;+16.683889;UGC00685          ;  7;01 07 22.3;+16 41 02;  2.40; ;16.51;14.22; ;17.97;11.64; ; 14.75; 64; 9;BCD  ;N; 156; 4.51; 3.28;51; 36;24.6; 8.69; ; 7.74; 351;-1.1;  1;UGC00685
016.885417;+51.440278;KKH5              ;  6;01 07 32.5;+51 26 25;  0.87; ;     ;17.10; ;19.63;13.63; ; 16.80; 37;10;Ir   ;L;  61; 4.27; 1.38;60; 16;24.7; 7.60; ; 6.87; 326;-0.6;  1;[KKH2001] 5
017.091667;-38.209167;AM0106-382        ;  7;01 08 22.0;-38 12 33;  0.72; ;17.37;16.26; ;19.23;13.86; ; 16.45; 38;10;Ir   ;N; 645; 8.20; 1.71;66; 15;24.1; 7.68; ; 7.58; 605;-1.4;  0;AM0106-382
017.362083;+35.717500;NGC0404           ;  8;01 09 26.9;+35 43 03;  3.47; ;15.42;11.21; ;15.08; 7.53; ; 13.43; 79;-1;S0em ;N; -50; 3.05; 3.25;20;100;22.4; 9.58; ; 7.93; 193;-0.4;  1;NGC0404
017.571250;+47.628056;And V             ;  5;01 10 17.1;+47 37 41;  2.40; ;     ;15.92; ;24.41;11.33;>; 16.34;   ;-3;Sph  ;L;-403; 0.81; 0.66;43;   ;26.2;     ;<; 5.62;-143; 2.6;  1;And V
018.577917;+38.117500;And XV            ;  4;01 14 18.7;+38 07 03;  1.90; ;     ;15.90; ;     ;11.62;>; 16.32;   ;-3;Sph  ;L;-323; 0.76; 0.44;39;   ;25.8;     ;<; 5.56; -79; 2.9;  0;And XV
